서비스명,지원내용,신청기한,문의처,신청방법,접수기관명,지원유형,지원대상,선정기준,URL,구비서류,tags
수산장비 구입 지원,융자한도액(2억원) 내에서 거래가격의 80% 지원,자세한 날짜는 시군구청에 따라 다를 수 있음,경기도 해양수산과/031-8008-4547||경상남도 수산정책과/055-211-4015||경상북도 해양수산과/054-880-7733||전라남도 친환경수산과/061-286-6992||인천광역시 수산과/032-440-4862||충청남도 수산자원과/041-635-4135||제주특별자치도 수산정책과/064-710-3217||부산광역시 수산정책과/051-888-5391||전북특별자치도 수산정책과/063-280-2676||강원특별자치도 어업진흥과/033-660-8354,시군구청에 방문하여 신청,시·군·구청,현금(융자),"｢수산업ㆍ어촌 발전 기본법｣ 및 ｢농어업경영체 육성 및 지원에 관한 법률｣에서 규정하고 있는 수산인(유통·가공업체), 어업인, 어업법인 및 생산자단체","(지원자격) ｢수산업ㆍ어촌 발전 기본법｣ 및 ｢농어업경영체 육성 및 지원에 관한 법률｣에서 규정하고 있는 수산인, 어업인, 어업법인 및 생산자단체로서 수산장비를 구입하고자 하는 자
(선정제외)「수산사업자금 집행관리 기본규정」제16조에 따라 수산정책자금 부당사용자로 지원제한 기간 미 경과자, 「수산사업자금 융자제한 등에 관한 규정」제4조에 따라 융자금 지원이 제한 된 자",,"사업신청서, 사업계획서","['수산장비', '지원', '수산업', '융자', '어업인', '거래가격', '어촌']"
산지 및 소비지 유통자금 융자 지원,"○ 산지위판장 및 수산물 도매시장 어대금 결제자금, 직거래 자금 등 융자지원(금리 1.5~3%)",공고일로부터 2주,수협중앙회/02-2240-2453||수협중앙회/02-2240-8525||수협은행/061-931-1647,"우편 또는 방문신청
수협중앙회 : 서울시 송파구 오금로 62 수협중앙회 경제기획부
수협은행 : 수협은행 지점(전국)
한국농수산식품유통공사 : at지역본부","수협중앙회, 수협은행, aT한국농수산식품유통공사",현금(융자),"○ 산지위판장, 도매시장 법인, 중도매인 등","○ 전년도수매실적, 중도매업 종사경력, 신규사업자, 소액신청자 등을 검토하여 사업자 선정심의회를 거쳐 사업자 선정",,"신청서, 사업자등록증 등","['대출', '저소득층', '창업지원', '산지', '도매시장', '융자', '어대금']"
수산경영인회생자금,"○ 수산업경영회생자금 지원(5년 거치, 7년 균분 상환/ 융자금리 1%)
- 지원대상자금: 상환기일이 도래하였거나 향후 도래할 수협은행 대출금의 원리금, 어업시설 개·보수 자금, 업종별 1회전 운영자금 등",2025.1.1.~2025.12.10.,수협은행/02-2240-8521,수협은행 및 단위수협 방문하여 신청,수협은행 및 단위수협,현금(융자),"○ 어업경영체(어업인, 어업법인 등)",○ 경영평가위원회의 정밀 경영평가 결과 자금 지원이 결정된 어업인,,"자구계획서, 담보서류 등 대출취급기관(수협은행)에서 요청한 자료","['어업경영체', '수산업경영회생자금', '융자금리', '도래할 대출금', '어업시설 자금']"
어업경영자금 지원,○ 어업경영자금 융자(수협은행 및 단위수협),연중,수협은행/02-2240-8521,수협은행 및 단위수협 방문하여 신청,수협은행 및 단위수협,현금(융자),"○ 어업경영체(어업인, 어업법인 등)","○ 어업경영자금 융자 한도내에서(개인 10억원, 법인 15억원 한도) 지원
- 다만 대출기관에서 농신보 보증 금액 및 개인 신용도 등을 확인하고, 대출 실행 가능여부를 검토한 후 지원",,어업인 확인서 등 대출취급기관(수협은행) 요청자료,"['어업경영자금', '어업체', '융자', '수협은행', '단위수협']"
TAC 참여어업인 경영개선자금 지원,"○ TAC 참여 어업인 대상 경영개선자금 지원(융자)
- 융자 100%
- 고정금리 연 2.5%~3.0%, 변동금리(매월 고시)",연중,수협은행 수산해양금융부/02-2240-8525,우편 또는 방문 신청(서울특별시 송파구 오금로 62 수협은행 수산해양금융부),수협은행 수산해양금융부,현금(융자),"○ TAC 참여 어업인(단, 제주도 소라 채취 어업인은 및 TAC 참여 1단계 어업인은 제외)",지원대상과 동일,,신청서,"['창업지원', '대출', '어업인', '경영개선', '융자', '고정금리']"
연안선박 현대화 지원,"○ 연안 선박 건조를 위한 금융기관 대출이자를 단순 신조인 경우 2.0, 노후선박 대체 또는 친환경선 도입(개조) 인 경우 2.5% 지원",사업공모기간중 신청,한국해운조합 해운지원팀/02-6096-2034,"방문 또는 우편 접수(한국해운조합 해운원팀의 주소 입력)
주소: 서울시 강서구 공항대로 379 한국해운조합 정책지원실 해운정책팀 연안선박 현대화 이차보전사업 담당자
우편번호 : 07590",한국해운조합 해운정책팀,현금,"○ 해운법 제4조에 따른 내항여객운송사업자
○ 해운법 제24조에 따른 내항 화물 운송사업자
○ 해운법 제33조에 따른 선박대여업자","○ 연안선박을 신조, 노후선박 대체를 위해 금융 대출하고자 하는 해운법상 내항여객운송사업자, 내항화물운송사업자, 선박대여업자
○ 연안선박 현대화 이차보전사업 후보자 심사기준에 따라 심사위원회에서 심의",,"○ 연안 선박 이차보전사업 지원신청서
○ 사업계획서
○ 내항여객운송사업 면허증 또는 내항 화물 운송사업 등록증 또는 선박대여업등록증
○ 법인 등기부 등본
○ 사업자등록증
○ 기타 심사기준에서 요구하는 증빙서류","['대출', '해운법', '선박', '금융기관', '친환경선', '노후선박']"
안전복지형 연근해어선 기반구축,○ 연근해어업의 허가를 받은 어선 중 선령 15년 이상 노후어선을 어선원 안전복지 및 에너지 절감 등을 고려한 현대화어선으로 대체 건조,연초 모집공고에 따름,해양수산부 수산정책실 어업자원정책관 어선안전정책과/044-200-5526,해당 지자체(시군구) 방문 신청,시·군·구청,현금(융자),"○ (대상)「수산업법」제41조에 따라 연근해어업*의 허가를 받은 어업인
* 연안어업과 구획어업은 차세대 안전복지형 어선개발(R&D) 사업으로 개발된 업종(연안어업 : 복합·자망·통발·개량안강망, 구획어업 : 패류형망)에 한함
○ (자격)
- 선령 15년 이상(직전 연도말 기준) 연근해어선을 소유한 어업인
- 노후어선 대체건조 비용 융자 신청을 위해 신용상태가 양호한 자
- 노후어선 대체건조 사업비 총액의 10%에 대한 자부담이 가능한 자","○ 사업지침의 사업자 선정기준*에 따라 합산점수가 높은 순으로 선정하되, 동점자가 발생하는 경우에는 노후어선 ①선령, ②감톤순으로 사업자 선정
* 어선 선령, 건조형태, 톤수, 소유기간, 자원보호, 기관유형 및 재정상태 등을 종합적으로 검토",,"사업신청서, 사업계획서, 신용조사서 등","['어선', '어업인', '노후어선', '안전복지', '에너지절감', '융자', '자부담']"
어업활동 지원,"최대 12만원(국비 50%, 지방비 30%, 자부담 20%), 1인당 최대 30일(단, 4대중증질환 및 임심출산가구는 최대60일)",상시신청,부산 수산자원연구소/051-209-0935||인천 수산기술지원센터/032-458-7464||경기 수산자원연구소/031-8008-8363||전북 수산기술연구소/063-290-6961||전남 해양수산과학원/061-550-0656||경북 해양수산과/054-880-7720||경남 수산안전기술원/055-254-3524||제주 수산정책과/064-710-3215,시군구청에 방문하여 신청,시·군·구청,기타||현금(감면),사업 지원 대상자격을 갖춘 어업경영체(신청인 : 어업경영체에 등록된 경영주)로 경영주 및 경영주외 어업인,"지원 대상 : 사고·질병, 교육, 임신 등으로 영어활동이 곤란한 어업인
- 1주일 이상 진단을 받아 요양을 필요로 하는 경우로 병·의원 확인이 있는 경우
- 3일 이상 입원한 경우
- 임신부 및 출산 후 3개월이 지나지 않은 경우
- 최근 3년 이내 4대 중증질환(암, 심장질환(고혈압 제외), 뇌혈관질환, 희귀난치성질환) 진단을 받은 자로 신청일 기준 최근 6개월 이내 통원치료를 받은 경우
- ‘어업인 교육과정’ 에 참여한 여성어업인(전체 지원한도의 20% 이내, 최종집행기관 기준)임신부 및 출산 후 3개월이 지나지 않은 경우
- 제1~2급 법정감염병 자가격리자로 보건소 및 의료기관으로부터 통보를 받아 격리중인 경우",,"어업도우미 이용 신청서
지원 사유를 확인할 수 있는 증빙서류
- 진단서(상해진단 시)
- 입·퇴원 확인서(질병입원)
- 의사 소견서(신청 기간이 지난 경우)
- 진료기록(4대 중증질환)
- 통원치료 확인서(4대 중증질환) 등","['어업활동', '지원대상', '사업지원', '어업경영체', '지원내용', '국비', '지방비']"
어업인 역량 강화 교육 지원,"○ 어업인 혹은 어업인 단체의 역량강화 교육
○ 여성어업인, 다문화가정 여성어업인 대상 역량 강화
○ 어업인, 수산업경영인, 해양수산신지식인 대상 역량강화
○ 어업인 등 국내외 시장개척을 위한 박람회 참가, 벤치마킹, 기술교류 활동, 학술대회 지원",매년초 모집공고에 따름,해양수산부 소득복지과/044-200-5464,"모집공고에 명시된 이메일, 방문, 우편 접수",해양수산부 소득복지과,기타(교육),○ 어업인 및 단체의 역량 강화 교육이 가능한 기관 혹은 단체,"○ 사업계획 서류심사 및 대면 발표 평가, 선정위원회 위원의 평가에 따름",,"모집공고에 명시된 서류(단체소개서, 사업계획서 등)","['어업인', '여성어업인', '다문화가정', '수산업경영인', '해양수산신지식인', '시장개척', '박람회']"
어업인안전조업교육지원,"○ ‘어선안전조업법’의 법정교육으로 연 1회(4시간) 어선의 선주, 선장, 기관장, 통신장 등 직무대행자에게 실시하는 안전조업교육
- 어업인 안전조업교육지원을 위한 민간위탁보조 지원",연중신청,어선안전정책과/044-200-5527||수협중앙회 어선안전조업본부/02-2240-2333,○ 전국 수협중앙회 회원 조합 방문 신청 또는 지역별 수협 어선안전조업국,수협중앙회 어선안전조업본부,이용권,○ 어업인(법정의무교육으로 매년 4시간 교육 이수사항),"○ 어선의 선주, 선장, 기관장, 통신장 등",,어선원부,"['어업인', '안전조업', '교육지원', '어선', '법정교육', '민간위탁보조', '직무대행자']"
